ModelGeography,SubGeography1,SubGeography2,Year,HGV+LGV+MGV+RAIL+WATER+AIR
INDIA,NR,UK,2020,875000
INDIA,ER,BR,2021,875000
INDIA,ER,JH,2021,875000
INDIA,ER,OD,2021,875000
INDIA,ER,WB,2021,875000
INDIA,WR,CG,2021,875000
INDIA,WR,GJ,2021,875000
INDIA,WR,MP,2021,875000
INDIA,WR,MH,2021,875000
INDIA,WR,GA,2021,875000
INDIA,ER,SK,2021,875000
INDIA,NER,AS,2021,875000
INDIA,NER,NE,2021,875000
INDIA,SR,AP,2021,875000
INDIA,SR,KA,2021,875000
INDIA,SR,KL,2021,875000
INDIA,SR,TN,2021,875000
INDIA,SR,TS,2021,875000
INDIA,NR,DL,2021,875000
INDIA,NR,HR,2021,875000
INDIA,NR,HP,2021,875000
INDIA,NR,JK,2021,875000
INDIA,NR,PB,2021,875000
INDIA,NR,RJ,2021,875000
INDIA,NR,UP,2021,875000
INDIA,NR,UK,2021,875000
INDIA,ER,BR,2022,875000
INDIA,ER,JH,2022,875000
INDIA,ER,OD,2022,875000
INDIA,ER,WB,2022,875000
INDIA,WR,CG,2022,875000
INDIA,WR,GJ,2022,875000
INDIA,WR,MP,2022,875000
INDIA,WR,MH,2022,875000
INDIA,WR,GA,2022,875000
INDIA,ER,SK,2022,875000
INDIA,NER,AS,2022,875000
INDIA,NER,NE,2022,875000
INDIA,SR,AP,2022,875000
INDIA,SR,KA,2022,875000
INDIA,SR,KL,2022,875000
INDIA,SR,TN,2022,875000
INDIA,SR,TS,2022,875000
INDIA,NR,DL,2022,875000
INDIA,NR,HR,2022,875000
INDIA,NR,HP,2022,875000
INDIA,NR,JK,2022,875000
INDIA,NR,PB,2022,875000
INDIA,NR,RJ,2022,875000
INDIA,NR,UP,2022,875000
INDIA,NR,UK,2022,875000
INDIA,ER,BR,2023,875000
INDIA,ER,JH,2023,875000
INDIA,ER,OD,2023,875000
INDIA,ER,WB,2023,875000
INDIA,WR,CG,2023,875000
INDIA,WR,GJ,2023,875000
INDIA,WR,MP,2023,875000
INDIA,WR,MH,2023,875000
INDIA,WR,GA,2023,875000
INDIA,ER,SK,2023,875000
INDIA,NER,AS,2023,875000
INDIA,NER,NE,2023,875000
INDIA,SR,AP,2023,875000
INDIA,SR,KA,2023,875000
INDIA,SR,KL,2023,875000
INDIA,SR,TN,2023,875000
INDIA,SR,TS,2023,875000
INDIA,NR,DL,2023,875000
INDIA,NR,HR,2023,875000
INDIA,NR,HP,2023,875000
INDIA,NR,JK,2023,875000
INDIA,NR,PB,2023,875000
INDIA,NR,RJ,2023,875000
INDIA,NR,UP,2023,875000
INDIA,NR,UK,2023,875000
INDIA,ER,BR,2024,875000
INDIA,ER,JH,2024,875000
INDIA,ER,OD,2024,875000
INDIA,ER,WB,2024,875000
INDIA,WR,CG,2024,875000
INDIA,WR,GJ,2024,875000
INDIA,WR,MP,2024,875000
INDIA,WR,MH,2024,875000
INDIA,WR,GA,2024,875000
INDIA,ER,SK,2024,875000
INDIA,NER,AS,2024,875000
INDIA,NER,NE,2024,875000
INDIA,SR,AP,2024,875000
INDIA,SR,KA,2024,875000
INDIA,SR,KL,2024,875000
INDIA,SR,TN,2024,875000
INDIA,SR,TS,2024,875000
INDIA,NR,DL,2024,875000
INDIA,NR,HR,2024,875000
INDIA,NR,HP,2024,875000
INDIA,NR,JK,2024,875000
INDIA,NR,PB,2024,875000
INDIA,NR,RJ,2024,875000
INDIA,NR,UP,2024,875000
INDIA,NR,UK,2024,875000
INDIA,ER,BR,2025,893552.209457035
INDIA,ER,JH,2025,893552.209457035
INDIA,ER,OD,2025,893552.209457035
INDIA,ER,WB,2025,893552.209457035
INDIA,WR,CG,2025,893552.209457035
INDIA,WR,GJ,2025,893552.209457035
INDIA,WR,MP,2025,893552.209457035
INDIA,WR,MH,2025,893552.209457035
INDIA,WR,GA,2025,893552.209457035
INDIA,ER,SK,2025,893552.209457035
INDIA,NER,AS,2025,893552.209457035
INDIA,NER,NE,2025,893552.209457035
INDIA,SR,AP,2025,893552.209457035
INDIA,SR,KA,2025,893552.209457035
INDIA,SR,KL,2025,893552.209457035
INDIA,SR,TN,2025,893552.209457035
INDIA,SR,TS,2025,893552.209457035
INDIA,NR,DL,2025,893552.209457035
INDIA,NR,HR,2025,893552.209457035
INDIA,NR,HP,2025,893552.209457035
INDIA,NR,JK,2025,893552.209457035
INDIA,NR,PB,2025,893552.209457035
INDIA,NR,RJ,2025,893552.209457035
INDIA,NR,UP,2025,893552.209457035
INDIA,NR,UK,2025,893552.209457035
INDIA,ER,BR,2026,912497.7726006273
INDIA,ER,JH,2026,912497.7726006273
INDIA,ER,OD,2026,912497.7726006273
INDIA,ER,WB,2026,912497.7726006273
INDIA,WR,CG,2026,912497.7726006273
INDIA,WR,GJ,2026,912497.7726006273
INDIA,WR,MP,2026,912497.7726006273
INDIA,WR,MH,2026,912497.7726006273
INDIA,WR,GA,2026,912497.7726006273
INDIA,ER,SK,2026,912497.7726006273
INDIA,NER,AS,2026,912497.7726006273
INDIA,NER,NE,2026,912497.7726006273
INDIA,SR,AP,2026,912497.7726006273
INDIA,SR,KA,2026,912497.7726006273
INDIA,SR,KL,2026,912497.7726006273
INDIA,SR,TN,2026,912497.7726006273
INDIA,SR,TS,2026,912497.7726006273
INDIA,NR,DL,2026,912497.7726006273
INDIA,NR,HR,2026,912497.7726006273
INDIA,NR,HP,2026,912497.7726006273
INDIA,NR,JK,2026,912497.7726006273
INDIA,NR,PB,2026,912497.7726006273
INDIA,NR,RJ,2026,912497.7726006273
INDIA,NR,UP,2026,912497.7726006273
INDIA,NR,UK,2026,912497.7726006273
INDIA,ER,BR,2027,931845.0295221868
INDIA,ER,JH,2027,931845.0295221868
INDIA,ER,OD,2027,931845.0295221868
INDIA,ER,WB,2027,931845.0295221868
INDIA,WR,CG,2027,931845.0295221868
INDIA,WR,GJ,2027,931845.0295221868
INDIA,WR,MP,2027,931845.0295221868
INDIA,WR,MH,2027,931845.0295221868
INDIA,WR,GA,2027,931845.0295221868
INDIA,ER,SK,2027,931845.0295221868
INDIA,NER,AS,2027,931845.0295221868
INDIA,NER,NE,2027,931845.0295221868
INDIA,SR,AP,2027,931845.0295221868
INDIA,SR,KA,2027,931845.0295221868
INDIA,SR,KL,2027,931845.0295221868
INDIA,SR,TN,2027,931845.0295221868
INDIA,SR,TS,2027,931845.0295221868
INDIA,NR,DL,2027,931845.0295221868
INDIA,NR,HR,2027,931845.0295221868
INDIA,NR,HP,2027,931845.0295221868
INDIA,NR,JK,2027,931845.0295221868
INDIA,NR,PB,2027,931845.0295221868
INDIA,NR,RJ,2027,931845.0295221868
INDIA,NR,UP,2027,931845.0295221868
INDIA,NR,UK,2027,931845.0295221868
INDIA,ER,BR,2028,951602.4971441211
INDIA,ER,JH,2028,951602.4971441211
INDIA,ER,OD,2028,951602.4971441211
INDIA,ER,WB,2028,951602.4971441211
INDIA,WR,CG,2028,951602.4971441211
INDIA,WR,GJ,2028,951602.4971441211
INDIA,WR,MP,2028,951602.4971441211
INDIA,WR,MH,2028,951602.4971441211
INDIA,WR,GA,2028,951602.4971441211
INDIA,ER,SK,2028,951602.4971441211
INDIA,NER,AS,2028,951602.4971441211
INDIA,NER,NE,2028,951602.4971441211
INDIA,SR,AP,2028,951602.4971441211
INDIA,SR,KA,2028,951602.4971441211
INDIA,SR,KL,2028,951602.4971441211
INDIA,SR,TN,2028,951602.4971441211
INDIA,SR,TS,2028,951602.4971441211
INDIA,NR,DL,2028,951602.4971441211
INDIA,NR,HR,2028,951602.4971441211
INDIA,NR,HP,2028,951602.4971441211
INDIA,NR,JK,2028,951602.4971441211
INDIA,NR,PB,2028,951602.4971441211
INDIA,NR,RJ,2028,951602.4971441211
INDIA,NR,UP,2028,951602.4971441211
INDIA,NR,UK,2028,951602.4971441211
INDIA,ER,BR,2029,971778.8729690985
INDIA,ER,JH,2029,971778.8729690985
INDIA,ER,OD,2029,971778.8729690985
INDIA,ER,WB,2029,971778.8729690985
INDIA,WR,CG,2029,971778.8729690985
INDIA,WR,GJ,2029,971778.8729690985
INDIA,WR,MP,2029,971778.8729690985
INDIA,WR,MH,2029,971778.8729690985
INDIA,WR,GA,2029,971778.8729690985
INDIA,ER,SK,2029,971778.8729690985
INDIA,NER,AS,2029,971778.8729690985
INDIA,NER,NE,2029,971778.8729690985
INDIA,SR,AP,2029,971778.8729690985
INDIA,SR,KA,2029,971778.8729690985
INDIA,SR,KL,2029,971778.8729690985
INDIA,SR,TN,2029,971778.8729690985
INDIA,SR,TS,2029,971778.8729690985
INDIA,NR,DL,2029,971778.8729690985
INDIA,NR,HR,2029,971778.8729690985
INDIA,NR,HP,2029,971778.8729690985
INDIA,NR,JK,2029,971778.8729690985
INDIA,NR,PB,2029,971778.8729690985
INDIA,NR,RJ,2029,971778.8729690985
INDIA,NR,UP,2029,971778.8729690985
INDIA,NR,UK,2029,971778.8729690985
INDIA,ER,BR,2030,992383.0389088059
INDIA,ER,JH,2030,992383.0389088059
INDIA,ER,OD,2030,992383.0389088059
INDIA,ER,WB,2030,992383.0389088059
INDIA,WR,CG,2030,992383.0389088059
INDIA,WR,GJ,2030,992383.0389088059
INDIA,WR,MP,2030,992383.0389088059
INDIA,WR,MH,2030,992383.0389088059
INDIA,WR,GA,2030,992383.0389088059
INDIA,ER,SK,2030,992383.0389088059
INDIA,NER,AS,2030,992383.0389088059
INDIA,NER,NE,2030,992383.0389088059
INDIA,SR,AP,2030,992383.0389088059
INDIA,SR,KA,2030,992383.0389088059
INDIA,SR,KL,2030,992383.0389088059
INDIA,SR,TN,2030,992383.0389088059
INDIA,SR,TS,2030,992383.0389088059
INDIA,NR,DL,2030,992383.0389088059
INDIA,NR,HR,2030,992383.0389088059
INDIA,NR,HP,2030,992383.0389088059
INDIA,NR,JK,2030,992383.0389088059
INDIA,NR,PB,2030,992383.0389088059
INDIA,NR,RJ,2030,992383.0389088059
INDIA,NR,UP,2030,992383.0389088059
INDIA,NR,UK,2030,992383.0389088059
INDIA,ER,BR,2031,1013424.0651938859
INDIA,ER,JH,2031,1013424.0651938859
INDIA,ER,OD,2031,1013424.0651938859
INDIA,ER,WB,2031,1013424.0651938859
INDIA,WR,CG,2031,1013424.0651938859
INDIA,WR,GJ,2031,1013424.0651938859
INDIA,WR,MP,2031,1013424.0651938859
INDIA,WR,MH,2031,1013424.0651938859
INDIA,WR,GA,2031,1013424.0651938859
INDIA,ER,SK,2031,1013424.0651938859
INDIA,NER,AS,2031,1013424.0651938859
INDIA,NER,NE,2031,1013424.0651938859
INDIA,SR,AP,2031,1013424.0651938859
INDIA,SR,KA,2031,1013424.0651938859
INDIA,SR,KL,2031,1013424.0651938859
INDIA,SR,TN,2031,1013424.0651938859
INDIA,SR,TS,2031,1013424.0651938859
INDIA,NR,DL,2031,1013424.0651938859
INDIA,NR,HR,2031,1013424.0651938859
INDIA,NR,HP,2031,1013424.0651938859
INDIA,NR,JK,2031,1013424.0651938859
INDIA,NR,PB,2031,1013424.0651938859
INDIA,NR,RJ,2031,1013424.0651938859
INDIA,NR,UP,2031,1013424.0651938859
INDIA,NR,UK,2031,1013424.0651938859
INDIA,ER,BR,2032,1034911.2143667737
INDIA,ER,JH,2032,1034911.2143667737
INDIA,ER,OD,2032,1034911.2143667737
INDIA,ER,WB,2032,1034911.2143667737
INDIA,WR,CG,2032,1034911.2143667737
INDIA,WR,GJ,2032,1034911.2143667737
INDIA,WR,MP,2032,1034911.2143667737
INDIA,WR,MH,2032,1034911.2143667737
INDIA,WR,GA,2032,1034911.2143667737
INDIA,ER,SK,2032,1034911.2143667737
INDIA,NER,AS,2032,1034911.2143667737
INDIA,NER,NE,2032,1034911.2143667737
INDIA,SR,AP,2032,1034911.2143667737
INDIA,SR,KA,2032,1034911.2143667737
INDIA,SR,KL,2032,1034911.2143667737
INDIA,SR,TN,2032,1034911.2143667737
INDIA,SR,TS,2032,1034911.2143667737
INDIA,NR,DL,2032,1034911.2143667737
INDIA,NR,HR,2032,1034911.2143667737
INDIA,NR,HP,2032,1034911.2143667737
INDIA,NR,JK,2032,1034911.2143667737
INDIA,NR,PB,2032,1034911.2143667737
INDIA,NR,RJ,2032,1034911.2143667737
INDIA,NR,UP,2032,1034911.2143667737
INDIA,NR,UK,2032,1034911.2143667737
INDIA,ER,BR,2033,1056853.945359193
INDIA,ER,JH,2033,1056853.945359193
INDIA,ER,OD,2033,1056853.945359193
INDIA,ER,WB,2033,1056853.945359193
INDIA,WR,CG,2033,1056853.945359193
INDIA,WR,GJ,2033,1056853.945359193
INDIA,WR,MP,2033,1056853.945359193
INDIA,WR,MH,2033,1056853.945359193
INDIA,WR,GA,2033,1056853.945359193
INDIA,ER,SK,2033,1056853.945359193
INDIA,NER,AS,2033,1056853.945359193
INDIA,NER,NE,2033,1056853.945359193
INDIA,SR,AP,2033,1056853.945359193
INDIA,SR,KA,2033,1056853.945359193
INDIA,SR,KL,2033,1056853.945359193
INDIA,SR,TN,2033,1056853.945359193
INDIA,SR,TS,2033,1056853.945359193
INDIA,NR,DL,2033,1056853.945359193
INDIA,NR,HR,2033,1056853.945359193
INDIA,NR,HP,2033,1056853.945359193
INDIA,NR,JK,2033,1056853.945359193
INDIA,NR,PB,2033,1056853.945359193
INDIA,NR,RJ,2033,1056853.945359193
INDIA,NR,UP,2033,1056853.945359193
INDIA,NR,UK,2033,1056853.945359193
INDIA,ER,BR,2034,1079261.9176561045
INDIA,ER,JH,2034,1079261.9176561045
INDIA,ER,OD,2034,1079261.9176561045
INDIA,ER,WB,2034,1079261.9176561045
INDIA,WR,CG,2034,1079261.9176561045
INDIA,WR,GJ,2034,1079261.9176561045
INDIA,WR,MP,2034,1079261.9176561045
INDIA,WR,MH,2034,1079261.9176561045
INDIA,WR,GA,2034,1079261.9176561045
INDIA,ER,SK,2034,1079261.9176561045
INDIA,NER,AS,2034,1079261.9176561045
INDIA,NER,NE,2034,1079261.9176561045
INDIA,SR,AP,2034,1079261.9176561045
INDIA,SR,KA,2034,1079261.9176561045
INDIA,SR,KL,2034,1079261.9176561045
INDIA,SR,TN,2034,1079261.9176561045
INDIA,SR,TS,2034,1079261.9176561045
INDIA,NR,DL,2034,1079261.9176561045
INDIA,NR,HR,2034,1079261.9176561045
INDIA,NR,HP,2034,1079261.9176561045
INDIA,NR,JK,2034,1079261.9176561045
INDIA,NR,PB,2034,1079261.9176561045
INDIA,NR,RJ,2034,1079261.9176561045
INDIA,NR,UP,2034,1079261.9176561045
INDIA,NR,UK,2034,1079261.9176561045
INDIA,ER,BR,2035,1102144.9955479412
INDIA,ER,JH,2035,1102144.9955479412
INDIA,ER,OD,2035,1102144.9955479412
INDIA,ER,WB,2035,1102144.9955479412
INDIA,WR,CG,2035,1102144.9955479412
INDIA,WR,GJ,2035,1102144.9955479412
INDIA,WR,MP,2035,1102144.9955479412
INDIA,WR,MH,2035,1102144.9955479412
INDIA,WR,GA,2035,1102144.9955479412
INDIA,ER,SK,2035,1102144.9955479412
INDIA,NER,AS,2035,1102144.9955479412
INDIA,NER,NE,2035,1102144.9955479412
INDIA,SR,AP,2035,1102144.9955479412
INDIA,SR,KA,2035,1102144.9955479412
INDIA,SR,KL,2035,1102144.9955479412
INDIA,SR,TN,2035,1102144.9955479412
INDIA,SR,TS,2035,1102144.9955479412
INDIA,NR,DL,2035,1102144.9955479412
INDIA,NR,HR,2035,1102144.9955479412
INDIA,NR,HP,2035,1102144.9955479412
INDIA,NR,JK,2035,1102144.9955479412
INDIA,NR,PB,2035,1102144.9955479412
INDIA,NR,RJ,2035,1102144.9955479412
INDIA,NR,UP,2035,1102144.9955479412
INDIA,NR,UK,2035,1102144.9955479412
INDIA,ER,BR,2036,1125513.252473002
INDIA,ER,JH,2036,1125513.252473002
INDIA,ER,OD,2036,1125513.252473002
INDIA,ER,WB,2036,1125513.252473002
INDIA,WR,CG,2036,1125513.252473002
INDIA,WR,GJ,2036,1125513.252473002
INDIA,WR,MP,2036,1125513.252473002
INDIA,WR,MH,2036,1125513.252473002
INDIA,WR,GA,2036,1125513.252473002
INDIA,ER,SK,2036,1125513.252473002
INDIA,NER,AS,2036,1125513.252473002
INDIA,NER,NE,2036,1125513.252473002
INDIA,SR,AP,2036,1125513.252473002
INDIA,SR,KA,2036,1125513.252473002
INDIA,SR,KL,2036,1125513.252473002
INDIA,SR,TN,2036,1125513.252473002
INDIA,SR,TS,2036,1125513.252473002
INDIA,NR,DL,2036,1125513.252473002
INDIA,NR,HR,2036,1125513.252473002
INDIA,NR,HP,2036,1125513.252473002
INDIA,NR,JK,2036,1125513.252473002
INDIA,NR,PB,2036,1125513.252473002
INDIA,NR,RJ,2036,1125513.252473002
INDIA,NR,UP,2036,1125513.252473002
INDIA,NR,UK,2036,1125513.252473002
INDIA,ER,BR,2037,1149376.975451914
INDIA,ER,JH,2037,1149376.975451914
INDIA,ER,OD,2037,1149376.975451914
INDIA,ER,WB,2037,1149376.975451914
INDIA,WR,CG,2037,1149376.975451914
INDIA,WR,GJ,2037,1149376.975451914
INDIA,WR,MP,2037,1149376.975451914
INDIA,WR,MH,2037,1149376.975451914
INDIA,WR,GA,2037,1149376.975451914
INDIA,ER,SK,2037,1149376.975451914
INDIA,NER,AS,2037,1149376.975451914
INDIA,NER,NE,2037,1149376.975451914
INDIA,SR,AP,2037,1149376.975451914
INDIA,SR,KA,2037,1149376.975451914
INDIA,SR,KL,2037,1149376.975451914
INDIA,SR,TN,2037,1149376.975451914
INDIA,SR,TS,2037,1149376.975451914
INDIA,NR,DL,2037,1149376.975451914
INDIA,NR,HR,2037,1149376.975451914
INDIA,NR,HP,2037,1149376.975451914
INDIA,NR,JK,2037,1149376.975451914
INDIA,NR,PB,2037,1149376.975451914
INDIA,NR,RJ,2037,1149376.975451914
INDIA,NR,UP,2037,1149376.975451914
INDIA,NR,UK,2037,1149376.975451914
INDIA,ER,BR,2038,1173746.6696161164
INDIA,ER,JH,2038,1173746.6696161164
INDIA,ER,OD,2038,1173746.6696161164
INDIA,ER,WB,2038,1173746.6696161164
INDIA,WR,CG,2038,1173746.6696161164
INDIA,WR,GJ,2038,1173746.6696161164
INDIA,WR,MP,2038,1173746.6696161164
INDIA,WR,MH,2038,1173746.6696161164
INDIA,WR,GA,2038,1173746.6696161164
INDIA,ER,SK,2038,1173746.6696161164
INDIA,NER,AS,2038,1173746.6696161164
INDIA,NER,NE,2038,1173746.6696161164
INDIA,SR,AP,2038,1173746.6696161164
INDIA,SR,KA,2038,1173746.6696161164
INDIA,SR,KL,2038,1173746.6696161164
INDIA,SR,TN,2038,1173746.6696161164
INDIA,SR,TS,2038,1173746.6696161164
INDIA,NR,DL,2038,1173746.6696161164
INDIA,NR,HR,2038,1173746.6696161164
INDIA,NR,HP,2038,1173746.6696161164
INDIA,NR,JK,2038,1173746.6696161164
INDIA,NR,PB,2038,1173746.6696161164
INDIA,NR,RJ,2038,1173746.6696161164
INDIA,NR,UP,2038,1173746.6696161164
INDIA,NR,UK,2038,1173746.6696161164
INDIA,ER,BR,2039,1198633.0628323625
INDIA,ER,JH,2039,1198633.0628323625
INDIA,ER,OD,2039,1198633.0628323625
INDIA,ER,WB,2039,1198633.0628323625
INDIA,WR,CG,2039,1198633.0628323625
INDIA,WR,GJ,2039,1198633.0628323625
INDIA,WR,MP,2039,1198633.0628323625
INDIA,WR,MH,2039,1198633.0628323625
INDIA,WR,GA,2039,1198633.0628323625
INDIA,ER,SK,2039,1198633.0628323625
INDIA,NER,AS,2039,1198633.0628323625
INDIA,NER,NE,2039,1198633.0628323625
INDIA,SR,AP,2039,1198633.0628323625
INDIA,SR,KA,2039,1198633.0628323625
INDIA,SR,KL,2039,1198633.0628323625
INDIA,SR,TN,2039,1198633.0628323625
INDIA,SR,TS,2039,1198633.0628323625
INDIA,NR,DL,2039,1198633.0628323625
INDIA,NR,HR,2039,1198633.0628323625
INDIA,NR,HP,2039,1198633.0628323625
INDIA,NR,JK,2039,1198633.0628323625
INDIA,NR,PB,2039,1198633.0628323625
INDIA,NR,RJ,2039,1198633.0628323625
INDIA,NR,UP,2039,1198633.0628323625
INDIA,NR,UK,2039,1198633.0628323625
INDIA,ER,BR,2040,1224047.110425269
INDIA,ER,JH,2040,1224047.110425269
INDIA,ER,OD,2040,1224047.110425269
INDIA,ER,WB,2040,1224047.110425269
INDIA,WR,CG,2040,1224047.110425269
INDIA,WR,GJ,2040,1224047.110425269
INDIA,WR,MP,2040,1224047.110425269
INDIA,WR,MH,2040,1224047.110425269
INDIA,WR,GA,2040,1224047.110425269
INDIA,ER,SK,2040,1224047.110425269
INDIA,NER,AS,2040,1224047.110425269
INDIA,NER,NE,2040,1224047.110425269
INDIA,SR,AP,2040,1224047.110425269
INDIA,SR,KA,2040,1224047.110425269
INDIA,SR,KL,2040,1224047.110425269
INDIA,SR,TN,2040,1224047.110425269
INDIA,SR,TS,2040,1224047.110425269
INDIA,NR,DL,2040,1224047.110425269
INDIA,NR,HR,2040,1224047.110425269
INDIA,NR,HP,2040,1224047.110425269
INDIA,NR,JK,2040,1224047.110425269
INDIA,NR,PB,2040,1224047.110425269
INDIA,NR,RJ,2040,1224047.110425269
INDIA,NR,UP,2040,1224047.110425269
INDIA,NR,UK,2040,1224047.110425269
INDIA,ER,BR,2041,1249999.9999999981
INDIA,ER,JH,2041,1249999.9999999981
INDIA,ER,OD,2041,1249999.9999999981
INDIA,ER,WB,2041,1249999.9999999981
INDIA,WR,CG,2041,1249999.9999999981
INDIA,WR,GJ,2041,1249999.9999999981
INDIA,WR,MP,2041,1249999.9999999981
INDIA,WR,MH,2041,1249999.9999999981
INDIA,WR,GA,2041,1249999.9999999981
INDIA,ER,SK,2041,1249999.9999999981
