EnergyCarrier,Year,UnmetDemandValue
BIOMASS_WASTE,2041,500000
PETCOKE,2021,500000
PETCOKE,2022,500000
PETCOKE,2023,500000
PETCOKE,2024,500000
PETCOKE,2025,500000
PETCOKE,2026,500000
PETCOKE,2027,500000
PETCOKE,2028,500000
PETCOKE,2029,500000
PETCOKE,2030,500000
PETCOKE,2031,500000
PETCOKE,2032,500000
PETCOKE,2033,500000
PETCOKE,2034,500000
PETCOKE,2035,500000
PETCOKE,2036,500000
PETCOKE,2037,500000
PETCOKE,2038,500000
PETCOKE,2039,500000
PETCOKE,2040,500000
PETCOKE,2041,500000
GREEN_H2,2021,500000
GREEN_H2,2022,500000
GREEN_H2,2023,500000
GREEN_H2,2024,500000
GREEN_H2,2025,500000
GREEN_H2,2026,500000
GREEN_H2,2027,500000
GREEN_H2,2028,500000
GREEN_H2,2029,500000
GREEN_H2,2030,500000
GREEN_H2,2031,500000
GREEN_H2,2032,500000
GREEN_H2,2033,500000
GREEN_H2,2034,500000
GREEN_H2,2035,500000
GREEN_H2,2036,500000
GREEN_H2,2037,500000
GREEN_H2,2038,500000
GREEN_H2,2039,500000
GREEN_H2,2040,500000
GREEN_H2,2041,500000
